id,editorial
581,DK Publishing (Dorling Kindersley)
582,Do-Not Press
583,Dodd Mead
584,Dodo Press
585,Doherty  Tom Associates  LLC
586,Dominion Press
587,Dorling Kindersley Children
588,Doubleday
589,Doubleday & Company  Inc.
590,Doubleday Books
591,Doubleday Books for Young Readers
592,Doubleday Canada
593,Doubleday Publishing (NY)
594,Douglas  McIntyre
595,Douglas & McIntyre
596,Dover Publications
597,Dover Publications  Inc.
598,Dover Publications (NY)
599,Dover Publications (NYC)
600,Downtown Press
601,Dr. Master Productions Inc.
602,Dragon Door Publications
603,Dragonfly Books
604,Dramatists Play Service
605,Dramatists Play Service  Inc.
606,Drawn and Quarterly
607,Droemer Knaur
608,Dtv
609,dtv
610,Duke University Press Books
611,Dundurn
612,Dutton
613,Dutton Adult
614,Dutton Books
615,Dutton Books for Young Readers
616,Dutton Children's Books
617,Dutton Juvenile
618,Earthlight
619,East Bay Municipal Utility District
620,Ebury Press
621,Ecco
622,Ecco / HarperCollins
623,Ecco Press
624,Ecco/Harper Perennial
625,ECW Press
626,Edaf S.A.
627,Edebé
628,Ediciones B
629,Ediciones Glénat España
630,Ediciones Urano
631,Edicións Xerais de Galicia  S.A.
632,Edimat Libros
633,Editions 10/18
634,Éditions 10/18
635,Editions de l'Olivier
636,Éditions de L'Olivier
637,Éditions de Minuit
638,Editions du Rocher
639,Éditions du Rocher
640,Editions Gallimard
641,Editorial Diana
642,Editorial Juventud
643,Editorial Presença
644,Editorial RM
645,Edwin Mellen Press
646,Eerdmans
647,Egmont Books Ltd
648,Egmont Children's Books
649,El Paso Norte Press
650,Element
651,Elloras Cave
652,Ember
653,EMC/Paradigm Publishing
654,Emece Editores
655,Emecé Editores
656,Eminent Lives
657,Encounter Books
658,Enitharmon Press
659,Eos
660,EOS
661,Eraserhead Press
662,Eros Comix
663,Europa Editions
664,Evans Brothers
665,Everyman
666,Everyman Chess
667,Everyman Library / Overlook Press
668,Everyman Paperback Classics
669,Everyman Paperbacks
670,Everyman's Library
671,Everyman's Library 234
672,Everyman's Library Classics
673,Everymans Library
674,Exact Change
675,Express Publishing
676,F & W Publications Inc.
677,F. Meiner
678,Fab Press
679,Faber  Faber
680,Faber & Faber
681,Faber & Faber Limited
682,Faber & Faber Ltd.
683,Faber and Faber
684,Faber and Faber & Penguin India
685,FaithWords
686,Fandemonium Books
687,Fanfare
688,Fantagraphics
689,Fantagraphics Books
690,Fantasy Flight Games
691,Farrar  Straus & Giroux
692,Farrar  Straus and Giroux
693,Farrar  Straus and Giroux (BYR)
694,Farrar  Straus and Giroux (NY)
695,Farrar  Strauss & Giroux-3pl
696,Farrar Straus and Giroux
697,Farrar Straus Giroux
698,FASA Corp.
699,FASA Corporation
700,Fawcett
701,Fawcett Books
702,Fawcett Coventry
703,Fawcett crest
704,Fawcett Crest
705,Fawcett Crest Books
706,Feiwel & Friends
707,Fellowship for the Performance
708,Felony & Mayhem
709,Feminist Press
710,Feral House
711,Festival
712,Festival Books
713,Filiquarian Publishing  LLC.
714,Findakly
715,Firebird
716,Firebird Books
717,Firebrand Books
718,Firelight Press
719,Fireside
720,Fireside Books
721,First Avenue Editions (Tm)
722,Fischer (Tb.)
723,Fischer Taschenbuch Verlag
724,Fischer TB
725,Fithian Press
726,Five Star (ME)
727,Five Star Trade
728,Flamingo
729,Fleming H Revell Co
730,Fleming H. Revell Company
731,Focal Press
732,Focus
733,Focus on the Family Publishing
734,Focus Publishing/R. Pullins Company
735,Fodor's
736,Folio
737,Folio histoire
738,FonoLibro
739,Fontana
740,Fontana Books
741,Fontana Press
742,For Dummies
743,Forge
744,Forge Books
745,Fortress Press
746,Fount
747,Four Ninety-Eight Productions
748,Four Walls Eight Windows Press
749,Fourth Estate
750,Fourth Estate (GB)
751,Fourth Estate Ltd
752,Fourth Estate Paperbacks
753,Franklin Watts
754,Frederick P. Lenz Foundation for American Buddhism
755,Fredonia Books (NL)
756,Free Press
757,Free Spirit Publishing
758,French & European
759,French & European Publications
760,French & European Pubns
761,FT Press
762,Fulcrum Publishing
763,Futura
764,G. P. Putnam's Sons
765,G.P. Putnam's Sons
766,G.P. Putnam's Sons Books for Young Readers
767,Gaia Books
768,Galahad Books
769,Gale Cengage
770,Gallery / Saga Press
771,Gallimard
772,Gallimard Education
773,Gallimard Jeunesse
774,Gallopade International
775,Gamble Guides
776,Games Workshop
777,Games Workshop(uk)
778,Gardners Books
779,Gauntlet Press
780,Geddes & Grosset
781,Gemstone Publishing
782,Geoplaneta
783,George Braziller
784,George Braziller Inc.
785,Gibbs Smith
786,Gibbs Smith Publishers
787,Gingko Press
788,Glénat
789,Globe
